Participante,Sexo,Item,Edad,Imagen,Juntas,TCDD,MD,Tiempo,Ventana
1,F,1,23,c,TC,c,h,0.4655,2
1,F,2,23,c,TC,c,n,0.715,2
1,F,3,23,c,TC,c,s,0.682,2
1,F,4,23,d1,DD,DD,h,0.603,2
1,F,5,23,d1,DD,DD,n,0.645,2
1,F,6,23,d1,DD,DD,s,0.577,2
1,F,7,23,d2,DD,DD,h,0.276,2
1,F,8,23,d2,DD,DD,n,0.2925,2
1,F,9,23,d2,DD,DD,s,0.2145,2
1,F,10,23,t,TC,T,h,0.6775,2
1,F,11,23,t,TC,T,n,0.4405,2
1,F,12,23,t,TC,T,s,0.6065,2
2,M,1,19,c,TC,c,h,0.605,2
2,M,2,19,c,TC,c,n,0.651,2
2,M,3,19,c,TC,c,s,0.611,2
2,M,4,19,d1,DD,DD,h,0.3965,2
2,M,5,19,d1,DD,DD,n,0.2965,2
2,M,6,19,d1,DD,DD,s,0.3795,2
2,M,7,19,d2,DD,DD,h,0.2855,2
2,M,8,19,d2,DD,DD,n,0.127,2
2,M,9,19,d2,DD,DD,s,0.36,2
2,M,10,19,t,TC,T,h,0.4885,2
2,M,11,19,t,TC,T,n,0.5985,2
2,M,12,19,t,TC,T,s,0.506,2
3,F,1,21,c,TC,c,h,0.716,2
3,F,2,21,c,TC,c,n,0.77,2
3,F,3,21,c,TC,c,s,0.6195,2
3,F,4,21,d1,DD,DD,h,0.6245,2
3,F,5,21,d1,DD,DD,n,0.498,2
3,F,6,21,d1,DD,DD,s,0.4495,2
3,F,7,21,d2,DD,DD,h,0.3735,2
3,F,8,21,d2,DD,DD,n,0.3805,2
3,F,9,21,d2,DD,DD,s,0.2555,2
3,F,10,21,t,TC,T,h,0.6745,2
3,F,11,21,t,TC,T,n,0.6905,2
3,F,12,21,t,TC,T,s,0.7695,2
4,F,1,24,c,TC,c,h,0.8665,2
4,F,2,24,c,TC,c,n,1.0445,2
4,F,3,24,c,TC,c,s,0.9295,2
4,F,4,24,d1,DD,DD,h,0.449,2
4,F,5,24,d1,DD,DD,n,0.4505,2
4,F,6,24,d1,DD,DD,s,0.4375,2
4,F,7,24,d2,DD,DD,h,0.2925,2
4,F,8,24,d2,DD,DD,n,0.283,2
4,F,9,24,d2,DD,DD,s,0.4165,2
4,F,10,24,t,TC,T,h,0.858,2
4,F,11,24,t,TC,T,n,0.8575,2
4,F,12,24,t,TC,T,s,0.8625,2
5,F,1,19,c,TC,c,h,0.9145,2
5,F,2,19,c,TC,c,n,1.2035,2
5,F,3,19,c,TC,c,s,0.975,2
5,F,4,19,d1,DD,DD,h,0.4,2
5,F,5,19,d1,DD,DD,n,0.2585,2
5,F,6,19,d1,DD,DD,s,0.385,2
5,F,7,19,d2,DD,DD,h,0.321,2
5,F,8,19,d2,DD,DD,n,0.1995,2
5,F,9,19,d2,DD,DD,s,0.1945,2
5,F,10,19,t,TC,T,h,0.8895,2
5,F,11,19,t,TC,T,n,0.968,2
5,F,12,19,t,TC,T,s,0.941,2
6,F,1,19,c,TC,c,h,0.749,2
6,F,2,19,c,TC,c,n,0.9345,2
6,F,3,19,c,TC,c,s,0.642,2
6,F,4,19,d1,DD,DD,h,0.276,2
6,F,5,19,d1,DD,DD,n,0.315,2
6,F,6,19,d1,DD,DD,s,0.1525,2
6,F,7,19,d2,DD,DD,h,0.159,2
6,F,8,19,d2,DD,DD,n,0.1645,2
6,F,9,19,d2,DD,DD,s,0.1895,2
6,F,10,19,t,TC,T,h,0.641,2
6,F,11,19,t,TC,T,n,0.8465,2
6,F,12,19,t,TC,T,s,0.7685,2
7,M,1,22,c,TC,c,h,0.35,2
7,M,2,22,c,TC,c,n,0.6115,2
7,M,3,22,c,TC,c,s,0.443,2
7,M,4,22,d1,DD,DD,h,0.437,2
7,M,5,22,d1,DD,DD,n,0.434,2
7,M,6,22,d1,DD,DD,s,0.4095,2
7,M,7,22,d2,DD,DD,h,0.099,2
7,M,8,22,d2,DD,DD,n,0.072,2
7,M,9,22,d2,DD,DD,s,0.169,2
7,M,10,22,t,TC,T,h,0.5275,2
7,M,11,22,t,TC,T,n,0.5415,2
7,M,12,22,t,TC,T,s,0.716,2
8,F,1,23,c,TC,c,h,0.6615,2
8,F,2,23,c,TC,c,n,0.7675,2
8,F,3,23,c,TC,c,s,0.621,2
