Participante,Sexo,Item,Edad,Imagen,TCDD,MD,Tiempo,Ventana
1,F,1,23,c,c,h,0.0855,3
1,F,2,23,c,c,n,0.1195,3
1,F,3,23,c,c,s,0.089,3
1,F,4,23,d1,DD,h,0.0185,3
1,F,5,23,d1,DD,n,0.073,3
1,F,6,23,d1,DD,s,0.094,3
1,F,7,23,d2,DD,h,0.01,3
1,F,8,23,d2,DD,n,0.034,3
1,F,9,23,d2,DD,s,0.029,3
1,F,10,23,t,t,h,0.0655,3
1,F,11,23,t,t,n,0.031,3
1,F,12,23,t,t,s,0.0385,3
2,M,1,19,c,c,h,0.07,3
2,M,2,19,c,c,n,0.1205,3
2,M,3,19,c,c,s,0.1235,3
2,M,4,19,d1,DD,h,0.0565,3
2,M,5,19,d1,DD,n,0.0455,3
2,M,6,19,d1,DD,s,0.0175,3
2,M,7,19,d2,DD,h,0.069,3
2,M,8,19,d2,DD,n,0.0095,3
2,M,9,19,d2,DD,s,0.0385,3
2,M,10,19,t,t,h,0.095,3
2,M,11,19,t,t,n,0.028,3
2,M,12,19,t,t,s,0.052,3
3,F,1,21,c,c,h,0.145,3
3,F,2,21,c,c,n,0.174,3
3,F,3,21,c,c,s,0.093,3
3,F,4,21,d1,DD,h,0.0585,3
3,F,5,21,d1,DD,n,0.065,3
3,F,6,21,d1,DD,s,0.0665,3
3,F,7,21,d2,DD,h,0.009,3
3,F,8,21,d2,DD,n,0.0065,3
3,F,9,21,d2,DD,s,0.0335,3
3,F,10,21,t,t,h,0.1285,3
3,F,11,21,t,t,n,0.1255,3
3,F,12,21,t,t,s,0.1195,3
4,F,1,24,c,c,h,0.1175,3
4,F,2,24,c,c,n,0.134,3
4,F,3,24,c,c,s,0.1155,3
4,F,4,24,d1,DD,h,0.062,3
4,F,5,24,d1,DD,n,0.0625,3
4,F,6,24,d1,DD,s,0.049,3
4,F,7,24,d2,DD,h,0.027,3
4,F,8,24,d2,DD,n,0.036,3
4,F,9,24,d2,DD,s,0.048,3
4,F,10,24,t,t,h,0.1055,3
4,F,11,24,t,t,n,0.1265,3
4,F,12,24,t,t,s,0.1635,3
5,F,1,19,c,c,h,0.153,3
5,F,2,19,c,c,n,0.109,3
5,F,3,19,c,c,s,0.1805,3
5,F,4,19,d1,DD,h,0.024,3
5,F,5,19,d1,DD,n,0.012,3
5,F,6,19,d1,DD,s,0.0455,3
5,F,7,19,d2,DD,h,0.0035,3
5,F,8,19,d2,DD,n,0.016,3
5,F,9,19,d2,DD,s,0.018,3
5,F,10,19,t,t,h,0.1145,3
5,F,11,19,t,t,n,0.185,3
5,F,12,19,t,t,s,0.097,3
6,F,1,19,c,c,h,0.1755,3
6,F,2,19,c,c,n,0.1685,3
6,F,3,19,c,c,s,0.0845,3
6,F,4,19,d1,DD,h,0.047,3
6,F,5,19,d1,DD,n,0.008,3
6,F,6,19,d1,DD,s,0.0275,3
6,F,7,19,d2,DD,h,0.0015,3
6,F,8,19,d2,DD,n,0,3
6,F,9,19,d2,DD,s,0.0055,3
6,F,10,19,t,t,h,0.0515,3
6,F,11,19,t,t,n,0.1655,3
6,F,12,19,t,t,s,0.1115,3
7,M,1,22,c,c,h,0.101,3
7,M,2,22,c,c,n,0.1305,3
7,M,3,22,c,c,s,0.085,3
7,M,4,22,d1,DD,h,0.0515,3
7,M,5,22,d1,DD,n,0.0585,3
7,M,6,22,d1,DD,s,0.021,3
7,M,7,22,d2,DD,h,0.023,3
7,M,8,22,d2,DD,n,0.0125,3
7,M,9,22,d2,DD,s,0.057,3
7,M,10,22,t,t,h,0.085,3
7,M,11,22,t,t,n,0.074,3
7,M,12,22,t,t,s,0.076,3
8,F,1,23,c,c,h,0.0655,3
8,F,2,23,c,c,n,0.1625,3
8,F,3,23,c,c,s,0.077,3
8,F,4,23,d1,DD,h,0.0265,3
8,F,5,23,d1,DD,n,0.018,3
8,F,6,23,d1,DD,s,0.0715,3
8,F,7,23,d2,DD,h,0.03,3
8,F,8,23,d2,DD,n,0.0325,3
8,F,9,23,d2,DD,s,0.0185,3
8,F,10,23,t,t,h,0.205,3
8,F,11,23,t,t,n,0.1045,3
8,F,12,23,t,t,s,0.13,3
9,F,1,23,c,c,h,0.072,3
9,F,2,23,c,c,n,0.1015,3
9,F,3,23,c,c,s,0.1235,3
9,F,4,23,d1,DD,h,0.069,3
9,F,5,23,d1,DD,n,0.058,3
9,F,6,23,d1,DD,s,0.031,3
9,F,7,23,d2,DD,h,0.027,3
9,F,8,23,d2,DD,n,0.0635,3
9,F,9,23,d2,DD,s,0.029,3
9,F,10,23,t,t,h,0.085,3
9,F,11,23,t,t,n,0.1015,3
9,F,12,23,t,t,s,0.1345,3
10,F,1,22,c,c,h,0.112,3
10,F,2,22,c,c,n,0.073,3
10,F,3,22,c,c,s,0.108,3
10,F,4,22,d1,DD,h,0.015,3
10,F,5,22,d1,DD,n,0.039,3
10,F,6,22,d1,DD,s,0.013,3
10,F,7,22,d2,DD,h,0.0035,3
10,F,8,22,d2,DD,n,0.006,3
10,F,9,22,d2,DD,s,0,3
10,F,10,22,t,t,h,0.0875,3
10,F,11,22,t,t,n,0.1285,3
10,F,12,22,t,t,s,0.0855,3
11,F,1,21,c,c,h,0.079,3
11,F,2,21,c,c,n,0.198,3
11,F,3,21,c,c,s,0.2085,3
11,F,4,21,d1,DD,h,0.0255,3
11,F,5,21,d1,DD,n,0.0295,3
11,F,6,21,d1,DD,s,0.0195,3
11,F,7,21,d2,DD,h,0.0975,3
11,F,8,21,d2,DD,n,0.0205,3
11,F,9,21,d2,DD,s,0,3
11,F,10,21,t,t,h,0.1435,3
11,F,11,21,t,t,n,0.1435,3
11,F,12,21,t,t,s,0.1585,3
12,F,1,18,c,c,h,0.123,3
12,F,2,18,c,c,n,0.078,3
12,F,3,18,c,c,s,0.124,3
12,F,4,18,d1,DD,h,0.0765,3
12,F,5,18,d1,DD,n,0.107,3
12,F,6,18,d1,DD,s,0.1325,3
12,F,7,18,d2,DD,h,0.0715,3
12,F,8,18,d2,DD,n,0.0585,3
12,F,9,18,d2,DD,s,0.0375,3
12,F,10,18,t,t,h,0.0905,3
12,F,11,18,t,t,n,0.14,3
12,F,12,18,t,t,s,0.071,3
13,F,1,24,c,c,h,0.113,3
13,F,2,24,c,c,n,0.1445,3
13,F,3,24,c,c,s,0.1055,3
13,F,4,24,d1,DD,h,0.061,3
13,F,5,24,d1,DD,n,0.062,3
13,F,6,24,d1,DD,s,0.0415,3
13,F,7,24,d2,DD,h,0.0475,3
13,F,8,24,d2,DD,n,0.0265,3
13,F,9,24,d2,DD,s,0.035,3
13,F,10,24,t,t,h,0.066,3
13,F,11,24,t,t,n,0.0665,3
13,F,12,24,t,t,s,0.132,3
14,M,1,21,c,c,h,0.169,3
14,M,2,21,c,c,n,0.156,3
14,M,3,21,c,c,s,0.131,3
14,M,4,21,d1,DD,h,0,3
14,M,5,21,d1,DD,n,0.016,3
14,M,6,21,d1,DD,s,0.021,3
14,M,7,21,d2,DD,h,0,3
14,M,8,21,d2,DD,n,0.0035,3
14,M,9,21,d2,DD,s,0.011,3
14,M,10,21,t,t,h,0.168,3
14,M,11,21,t,t,n,0.0825,3
14,M,12,21,t,t,s,0.1355,3
15,F,1,18,c,c,h,0.109,3
15,F,2,18,c,c,n,0.1415,3
15,F,3,18,c,c,s,0.1145,3
15,F,4,18,d1,DD,h,0.0495,3
15,F,5,18,d1,DD,n,0.0185,3
15,F,6,18,d1,DD,s,0.0185,3
15,F,7,18,d2,DD,h,0.037,3
15,F,8,18,d2,DD,n,0.031,3
15,F,9,18,d2,DD,s,0.0475,3
15,F,10,18,t,t,h,0.1235,3
15,F,11,18,t,t,n,0.145,3
15,F,12,18,t,t,s,0.16,3
16,F,1,23,c,c,h,0.135,3
16,F,2,23,c,c,n,0.1295,3
16,F,3,23,c,c,s,0.109,3
16,F,4,23,d1,DD,h,0.0675,3
16,F,5,23,d1,DD,n,0.0145,3
16,F,6,23,d1,DD,s,0.1045,3
16,F,7,23,d2,DD,h,0.0115,3
16,F,8,23,d2,DD,n,0.012,3
16,F,9,23,d2,DD,s,0,3
16,F,10,23,t,t,h,0.0375,3
16,F,11,23,t,t,n,0.111,3
16,F,12,23,t,t,s,0.062,3
17,F,1,18,c,c,h,0.106,3
17,F,2,18,c,c,n,0.114,3
17,F,3,18,c,c,s,0.067,3
17,F,4,18,d1,DD,h,0.0455,3
