Participante,Sexo,Item,Edad,Imagen,TCDD,MD,Tiempo,Ventana
1,F,10,23,c,c,s,0.0975,4
1,F,11,23,d1,DD,s,0.0435,4
1,F,12,23,d2,DD,s,0.019,4
1,F,9,23,t,t,s,0.137,4
10,F,10,22,c,c,s,0.0895,4
10,F,11,22,d1,DD,s,0.0515,4
10,F,12,22,d2,DD,s,0.004,4
10,F,9,22,t,t,s,0.0675,4
11,F,10,21,c,c,s,0.2645,4
11,F,11,21,d1,DD,s,0.054,4
11,F,12,21,d2,DD,s,0,4
11,F,9,21,t,t,s,0.1835,4
12,F,10,18,c,c,s,0.104,4
12,F,11,18,d1,DD,s,0.0905,4
12,F,12,18,d2,DD,s,0.075,4
12,F,9,18,t,t,s,0.109,4
13,F,10,24,c,c,s,0.172,4
13,F,11,24,d1,DD,s,0.0705,4
13,F,12,24,d2,DD,s,0.05,4
13,F,9,24,t,t,s,0.133,4
14,M,10,21,c,c,s,0.1055,4
14,M,11,21,d1,DD,s,0.006,4
14,M,12,21,d2,DD,s,0.054,4
14,M,9,21,t,t,s,0.228,4
15,F,10,18,c,c,s,0.148,4
15,F,11,18,d1,DD,s,0.045,4
15,F,12,18,d2,DD,s,0.0235,4
15,F,9,18,t,t,s,0.206,4
16,F,10,23,c,c,s,0.0815,4
16,F,11,23,d1,DD,s,0.111,4
16,F,12,23,d2,DD,s,0,4
16,F,9,23,t,t,s,0.131,4
17,F,10,18,c,c,s,0.105,4
17,F,11,18,d1,DD,s,0.0415,4
17,F,12,18,d2,DD,s,0.036,4
17,F,9,18,t,t,s,0.0535,4
18,F,10,20,c,c,s,0.2135,4
18,F,11,20,d1,DD,s,0.078,4
18,F,12,20,d2,DD,s,0.074,4
18,F,9,20,t,t,s,0.113,4
19,F,10,19,c,c,s,0.076,4
19,F,11,19,d1,DD,s,0.063,4
19,F,12,19,d2,DD,s,0.042,4
19,F,9,19,t,t,s,0.162,4
2,M,10,19,c,c,s,0.1625,4
2,M,11,19,d1,DD,s,0.067,4
2,M,12,19,d2,DD,s,0.045,4
2,M,9,19,t,t,s,0.0995,4
20,F,10,20,c,c,s,0.1995,4
20,F,11,20,d1,DD,s,0.0925,4
20,F,12,20,d2,DD,s,0.0245,4
20,F,9,20,t,t,s,0.1125,4
21,F,10,20,c,c,s,0.099,4
21,F,11,20,d1,DD,s,0.034,4
21,F,12,20,d2,DD,s,0.038,4
21,F,9,20,t,t,s,0.1495,4
22,M,10,22,c,c,s,0.1745,4
22,M,11,22,d1,DD,s,0.0925,4
22,M,12,22,d2,DD,s,0.021,4
22,M,9,22,t,t,s,0.139,4
23,F,10,21,c,c,s,0.133,4
23,F,11,21,d1,DD,s,0.0065,4
23,F,12,21,d2,DD,s,0.007,4
23,F,9,21,t,t,s,0.307,4
24,M,10,21,c,c,s,0.2405,4
24,M,11,21,d1,DD,s,0.0265,4
24,M,12,21,d2,DD,s,0.017,4
24,M,9,21,t,t,s,0.172,4
25,F,10,19,c,c,s,0.1915,4
25,F,11,19,d1,DD,s,0,4
25,F,12,19,d2,DD,s,0,4
25,F,9,19,t,t,s,0.097,4
26,F,10,20,c,c,s,0.2535,4
26,F,11,20,d1,DD,s,0.043,4
26,F,12,20,d2,DD,s,0.04,4
26,F,9,20,t,t,s,0.2245,4
27,F,10,21,c,c,s,0.1905,4
27,F,11,21,d1,DD,s,0.125,4
27,F,12,21,d2,DD,s,0.024,4
27,F,9,21,t,t,s,0.198,4
28,F,10,20,c,c,s,0.1055,4
28,F,11,20,d1,DD,s,0.12,4
28,F,12,20,d2,DD,s,0.055,4
28,F,9,20,t,t,s,0.091,4
29,M,10,21,c,c,s,0.083,4
29,M,11,21,d1,DD,s,0.0065,4
29,M,12,21,d2,DD,s,0.02,4
29,M,9,21,t,t,s,0.0845,4
3,F,10,21,c,c,s,0.2005,4
3,F,11,21,d1,DD,s,0.1585,4
3,F,12,21,d2,DD,s,0.011,4
3,F,9,21,t,t,s,0.112,4
30,M,10,23,c,c,s,0.1365,4
30,M,11,23,d1,DD,s,0.065,4
30,M,12,23,d2,DD,s,0.0675,4
30,M,9,23,t,t,s,0.12,4
31,F,10,21,c,c,s,0.188,4
31,F,11,21,d1,DD,s,0.012,4
31,F,12,21,d2,DD,s,0.0295,4
31,F,9,21,t,t,s,0.1825,4
32,F,10,20,c,c,s,0.068,4
32,F,11,20,d1,DD,s,0.0965,4
32,F,12,20,d2,DD,s,0.039,4
32,F,9,20,t,t,s,0.187,4
33,M,10,19,c,c,s,0.099,4
33,M,11,19,d1,DD,s,0.053,4
33,M,12,19,d2,DD,s,0.083,4
33,M,9,19,t,t,s,0.1645,4
4,F,10,24,c,c,s,0.1865,4
4,F,11,24,d1,DD,s,0.043,4
4,F,12,24,d2,DD,s,0.0445,4
4,F,9,24,t,t,s,0.2445,4
5,F,10,19,c,c,s,0.1955,4
5,F,11,19,d1,DD,s,0.0655,4
5,F,12,19,d2,DD,s,0.0755,4
5,F,9,19,t,t,s,0.0815,4
6,F,10,19,c,c,s,0.283,4
6,F,11,19,d1,DD,s,0.0305,4
6,F,12,19,d2,DD,s,0.0265,4
6,F,9,19,t,t,s,0.0775,4
7,M,10,22,c,c,s,0.129,4
7,M,11,22,d1,DD,s,0.084,4
7,M,12,22,d2,DD,s,0.012,4
7,M,9,22,t,t,s,0.1335,4
8,F,10,23,c,c,s,0.1795,4
8,F,11,23,d1,DD,s,0.066,4
8,F,12,23,d2,DD,s,0.094,4
8,F,9,23,t,t,s,0.103,4
9,F,10,23,c,c,s,0.2275,4
9,F,11,23,d1,DD,s,0.0195,4
9,F,12,23,d2,DD,s,0.08,4
9,F,9,23,t,t,s,0.0775,4
1,F,6,23,c,c,n,0.0825,4
1,F,7,23,d1,DD,n,0.035,4
1,F,8,23,d2,DD,n,0.0185,4
1,F,5,23,t,t,n,0.1205,4
10,F,6,22,c,c,n,0.121,4
10,F,7,22,d1,DD,n,0.005,4
10,F,8,22,d2,DD,n,0.0325,4
10,F,5,22,t,t,n,0.1685,4
11,F,6,21,c,c,n,0.3145,4
11,F,7,21,d1,DD,n,0.0225,4
11,F,8,21,d2,DD,n,0.0125,4
11,F,5,21,t,t,n,0.168,4
12,F,6,18,c,c,n,0.111,4
12,F,7,18,d1,DD,n,0.0825,4
12,F,8,18,d2,DD,n,0.033,4
12,F,5,18,t,t,n,0.1995,4
13,F,6,24,c,c,n,0.09,4
13,F,7,24,d1,DD,n,0.097,4
13,F,8,24,d2,DD,n,0.0685,4
13,F,5,24,t,t,n,0.202,4
14,M,6,21,c,c,n,0.1945,4
14,M,7,21,d1,DD,n,0.0145,4
14,M,8,21,d2,DD,n,0,4
14,M,5,21,t,t,n,0.096,4
15,F,6,18,c,c,n,0.2025,4
15,F,7,18,d1,DD,n,0.1045,4
15,F,8,18,d2,DD,n,0.088,4
15,F,5,18,t,t,n,0.134,4
16,F,6,23,c,c,n,0.161,4
16,F,7,23,d1,DD,n,0.007,4
16,F,8,23,d2,DD,n,0.0565,4
16,F,5,23,t,t,n,0.1355,4
17,F,6,18,c,c,n,0.1775,4
17,F,7,18,d1,DD,n,0.0485,4
17,F,8,18,d2,DD,n,0.013,4
17,F,5,18,t,t,n,0.114,4
18,F,6,20,c,c,n,0.268,4
18,F,7,20,d1,DD,n,0.0585,4
