Participante,Sexo,Item,Edad,Imagen,TCDD,MD,Tiempo,Ventana
1,F,2,23,c,c,h,0.4385,5
1,F,6,23,c,c,n,0.551,5
1,F,10,23,c,c,s,0.5195,5
2,M,2,19,c,c,h,0.146,5
2,M,6,19,c,c,n,0.272,5
2,M,10,19,c,c,s,0.4535,5
3,F,2,21,c,c,h,0.7975,5
3,F,6,21,c,c,n,0.6465,5
3,F,10,21,c,c,s,0.5855,5
4,F,2,24,c,c,h,0.613,5
4,F,6,24,c,c,n,0.6915,5
4,F,10,24,c,c,s,0.606,5
5,F,2,19,c,c,h,0.531,5
5,F,6,19,c,c,n,0.6975,5
5,F,10,19,c,c,s,0.4985,5
6,F,2,19,c,c,h,0.416,5
6,F,6,19,c,c,n,0.3025,5
6,F,10,19,c,c,s,0.668,5
7,M,2,22,c,c,h,0.3165,5
7,M,6,22,c,c,n,0.504,5
7,M,10,22,c,c,s,0.501,5
8,F,2,23,c,c,h,0.1885,5
8,F,6,23,c,c,n,0.4215,5
8,F,10,23,c,c,s,0.7135,5
9,F,2,23,c,c,h,0.478,5
9,F,6,23,c,c,n,0.287,5
9,F,10,23,c,c,s,0.7495,5
10,F,2,22,c,c,h,0.1505,5
10,F,6,22,c,c,n,0.333,5
10,F,10,22,c,c,s,0.413,5
11,F,2,21,c,c,h,0.686,5
11,F,6,21,c,c,n,0.6515,5
11,F,10,21,c,c,s,0.6455,5
12,F,2,18,c,c,h,0.3445,5
12,F,6,18,c,c,n,0.782,5
12,F,10,18,c,c,s,0.4715,5
13,F,2,24,c,c,h,0.5455,5
13,F,6,24,c,c,n,0.4525,5
13,F,10,24,c,c,s,0.6495,5
14,M,2,21,c,c,h,0.613,5
14,M,6,21,c,c,n,0.847,5
14,M,10,21,c,c,s,0.597,5
15,F,2,18,c,c,h,0.6755,5
15,F,6,18,c,c,n,0.7615,5
15,F,10,18,c,c,s,0.6545,5
16,F,2,23,c,c,h,0.2155,5
16,F,6,23,c,c,n,0.4855,5
16,F,10,23,c,c,s,0.4465,5
17,F,2,18,c,c,h,0.7315,5
17,F,6,18,c,c,n,0.41,5
17,F,10,18,c,c,s,0.755,5
18,F,2,20,c,c,h,0.2405,5
18,F,6,20,c,c,n,0.5635,5
18,F,10,20,c,c,s,0.4185,5
19,F,2,19,c,c,h,0.5105,5
19,F,6,19,c,c,n,0.558,5
19,F,10,19,c,c,s,0.2845,5
20,F,2,20,c,c,h,0.457,5
20,F,6,20,c,c,n,0.5225,5
20,F,10,20,c,c,s,0.6575,5
21,F,2,20,c,c,h,0.6435,5
21,F,6,20,c,c,n,0.615,5
21,F,10,20,c,c,s,0.8085,5
22,M,2,22,c,c,h,0.252,5
22,M,6,22,c,c,n,0.6905,5
22,M,10,22,c,c,s,0.82,5
23,F,2,21,c,c,h,0.5985,5
23,F,6,21,c,c,n,0.5905,5
23,F,10,21,c,c,s,0.6215,5
24,M,2,21,c,c,h,0.561,5
24,M,6,21,c,c,n,0.7605,5
24,M,10,21,c,c,s,0.5135,5
25,F,2,19,c,c,h,0.437,5
25,F,6,19,c,c,n,0.2865,5
25,F,10,19,c,c,s,0.8785,5
26,F,2,20,c,c,h,0.4715,5
26,F,6,20,c,c,n,0.4015,5
26,F,10,20,c,c,s,0.353,5
27,F,2,21,c,c,h,0.398,5
27,F,6,21,c,c,n,0.597,5
27,F,10,21,c,c,s,0.483,5
28,F,2,20,c,c,h,0.369,5
28,F,6,20,c,c,n,0.7045,5
28,F,10,20,c,c,s,0.4635,5
29,M,2,21,c,c,h,0.2435,5
29,M,6,21,c,c,n,0.3315,5
29,M,10,21,c,c,s,0.3455,5
30,M,2,23,c,c,h,0.4495,5
30,M,6,23,c,c,n,0.3815,5
30,M,10,23,c,c,s,0.4005,5
31,F,2,21,c,c,h,0.7185,5
31,F,6,21,c,c,n,0.608,5
31,F,10,21,c,c,s,0.5605,5
32,F,2,20,c,c,h,0.335,5
32,F,6,20,c,c,n,0.235,5
32,F,10,20,c,c,s,0.242,5
33,M,2,19,c,c,h,0.527,5
33,M,6,19,c,c,n,0.5715,5
33,M,10,19,c,c,s,0.5715,5
1,F,3,23,d1,DD,h,0.108,5
1,F,7,23,d1,DD,n,0.175,5
1,F,11,23,d1,DD,s,0.1055,5
2,M,3,19,d1,DD,h,0.1205,5
2,M,7,19,d1,DD,n,0.129,5
2,M,11,19,d1,DD,s,0.1205,5
